backend,qubits,samples,run,runtime_seconds,valid
cpu,4,8,1,0.022291500004939735,True
cpu,4,8,2,0.01013109998893924,True
cpu,4,8,3,0.011880800011567771,True
cpu,4,8,4,0.009964500000933185,True
cpu,4,8,5,0.01302340000984259,True
cpu,6,8,1,0.015488899982301518,True
cpu,6,8,2,0.014288200007285923,True
cpu,6,8,3,0.014783599996007979,True
cpu,6,8,4,0.020971699996152893,True
cpu,6,8,5,0.017632400005823,True
cpu,8,8,1,0.020985899987863377,True
cpu,8,8,2,0.02425670000957325,True
cpu,8,8,3,0.020091500016860664,True
cpu,8,8,4,0.017736699985107407,True
cpu,8,8,5,0.01788300002226606,True
cpu,10,8,1,0.02197800000431016,True
cpu,10,8,2,0.022490400006063282,True
cpu,10,8,3,0.02195310001843609,True
cpu,10,8,4,0.024560099991504103,True
cpu,10,8,5,0.06028750000405125,True
cpu,12,8,1,0.0348060000105761,True
cpu,12,8,2,0.033256700000492856,True
cpu,12,8,3,0.034216800006106496,True
cpu,12,8,4,0.03485130000626668,True
cpu,12,8,5,0.03516179998405278,True
cpu,14,8,1,0.0707414000062272,True
cpu,14,8,2,0.07025409999187104,True
cpu,14,8,3,0.08331729998462833,True
cpu,14,8,4,0.08766929997364059,True
cpu,14,8,5,0.08794879997731186,True
cpu,16,8,1,0.8923332999984268,True
cpu,16,8,2,0.9851384999928996,True
cpu,16,8,3,1.6967352000065148,True
cpu,16,8,4,1.1208289000205696,True
cpu,16,8,5,0.645329800026957,True
gpu,4,8,1,0.01541019999422133,True
gpu,4,8,2,0.017199399997480214,True
gpu,4,8,3,0.014032399980351329,True
gpu,4,8,4,0.015157400019234046,True
gpu,4,8,5,0.01406190000125207,True
gpu,6,8,1,0.017438800015952438,True
gpu,6,8,2,0.020538399985525757,True
gpu,6,8,3,0.018169799994211644,True
gpu,6,8,4,0.019316900026751682,True
gpu,6,8,5,0.019807799981208518,True
gpu,8,8,1,0.024472699995385483,True
gpu,8,8,2,0.024447099975077435,True
gpu,8,8,3,0.023023200017632917,True
gpu,8,8,4,0.02344930000253953,True
gpu,8,8,5,0.024577999982284382,True
gpu,10,8,1,0.03082029998768121,True
gpu,10,8,2,0.033581299998331815,True
gpu,10,8,3,0.031101500004297122,True
gpu,10,8,4,0.032913000002736226,True
gpu,10,8,5,0.03156119998311624,True
gpu,12,8,1,0.05127709999214858,True
gpu,12,8,2,0.051768100005574524,True
gpu,12,8,3,0.049945800012210384,True
gpu,12,8,4,0.05274919999646954,True
gpu,12,8,5,0.049880400008987635,True
gpu,14,8,1,0.1201809000049252,True
gpu,14,8,2,0.11431590002030134,True
gpu,14,8,3,0.12373150000348687,True
gpu,14,8,4,0.12645310000516474,True
gpu,14,8,5,0.12933689999044873,True
gpu,16,8,1,0.43338269999367185,True
gpu,16,8,2,0.4731733999797143,True
gpu,16,8,3,0.40592829999513924,True
gpu,16,8,4,0.42212689999723807,True
gpu,16,8,5,0.45763250000891276,True
